qr_code,area_id,postal_code
IM1l0679,A0000000T,117599
IM1l0680,A0000000T,609925
IM1l0683,A00000004,088889
IM1l0684,A0000000T,117599
IM1l0772,A0000000V,797509
IM1l0779,A0000000T,609925
IM1l0783,A00000007,637559
IM1l0817,A00000006,534193
IM1l0820,A00000007,629011
IM1l0826,A00000007,639521
IM1l0829,A0000000V,608526
IM1l0835,A00000007,629842
IM1l0836,A0000000T,608780
IM1l0838,A0000000T,117599
IM1l0844,A00000008,389977
IM1l0859,A00000007,638675
IM1l0869,A00000007,629616
IM1l0135,A00000008,339156
IM1l0137,A00000004,048623
IM1l0138,A00000008,339156
IM1l0893,A00000004,189720
IM1l0909,A00000006,528609
IM1l09lO,A0000000T,139935
IM1l0912,A00000007,638391
IM1l0918,A00000007,618590
IM1l0923,A00000008,554911
IM1l0924,A0000000V,737937
IM1l0925,A0000000T,118519
IM1l0928,A00000004,038988
IM1l0929,A00000007,639232
IM1l0936,A00000007,639537
IM1l0937,A00000004,247933
IM1l0938,A00000004,247933
IM1l0945,A0000000T,609928
IM1l0948,A00000010,627837
IM1l0949,A00000007,619266
IM1l0955,A00000007,619626
IM1l0957,A00000006,409960
IM1l0966,A00000007,638440
IM1l0971,A00000006,508505
IM1l0975,A00000007,619626
IM1l0976,A00000004,238252
IM1l0982,A00000007,618590
IM1l0983,A00000006,486041
IM1l0985,A00000006,486041
IMlO11O2,A00000006,486596
IMlO11O5,A00000007,618590
IMlO11O6,A00000004,368237
IMlO11O8,A00000006,534138
IMlO11O9,A00000007,618590
IMlO1l06,A00000006,486547
IMlO1l09,A0000000T,609926
IMlOlO22,A00000004,360081
IMlOlO23,A0000000T,609926
IMlOlO25,A00000006,498792
IMlOlO27,A0000000V,658066
IMlOlO32,A00000004,189352
IMlOlO35,A00000007,629621
IMlOlO37,A00000006,534138
IMlOlO46,A00000006,498783
IMlOlO48,A00000006,498792
IMlOlO50,A00000006,486477
IMlOlO52,A0000000T,119079
IMlOlO62,A00000006,535219
IMlOlO69,A00000007,629622
IMlOlO70,A00000007,629622
IMlOlO73,A00000007,629622
IMlOlO75,A00000008,387299
IMlOlO77,A00000004,039596
IMlOlO90,A00000006,498783
IMlOlO92,A00000006,486150
IMlOlO98,A00000006,498783
IMlO1l1O,A00000004,469045
IMlO1llO,A00000008,387299
IMlO1l73,A00000004,049513
IMlO1l74,A00000004,238252
IMlO1l77,A00000006,534193
IMlO1l78,A00000008,349327
IMlO1l80,A00000010,628277
IML1O1O4,A00000006,534106
IML1O1O5,A00000004,018961
IML1O1O9,A00000004,018961
IML1OlO1,A0000000T,118228
IML1OlO3,A0000000T,099254
IML1OlO4,A00000008,554864
IML1OlO5,A00000004,239351
IML1l095,A00000006,509866
IML1O904,A00000007,629062
IML1l069,A00000010,627830
IML1l036,A00000006,417957
IML1l077,A00000008,569508
IMLlO1l6,A0000000V,758532
IML1O917,A00000007,639461
IML1O944,A0000000V,718921
IML1O977,A0000000V,718921
IML1O981,A00000008,569506
IML1O983,A00000008,797477
IML1l066,A00000008,299173
IML1l097,A00000008,569506
IML1O861,A00000008,569506
IML1l098,A0000000T,159933
IML1l0lO,A00000008,569506
IML1O984,A00000008,569061
IML1l058,A0000000T,609930
IML1l094,A00000007,629842
IMLlO127,A00000007,629842
IML1l084,A00000008,569510
IML1O951,A0000000T,117438
IML1O91O,A0000000T,117440
IML1l086,A00000006,415933
IMLlO157,A00000007,638364
IML1O862,A00000006,449314
IMLlO154,A00000004,229239
IMLlO233,A00000007,638364
IMLlO180,A0000000T,098544
IMLlO170,A00000007,639248
IML1O946,A00000007,629110
IMLlO192,A00000004,069535
IMLlO185,A00000004,069535
IMLlO164,A00000004,229239
IMLlO239,A00000006,408694
IDlO1l2,A0000000W,649845
IML1O932,A00000004,207340
IMLlO143,A00000007,640647
IMLlO240,A00000004,210053
IMLlO243,A00000007,629528
IMLlO242,A0000000T,128478
IMLlO276,A0000000T,117407
IMLlO3lO,A0000000T,128478
IMLlO246,A00000004,469002
IML1O096,A00000010,627831
IML0lO26,A00000010,627740
IML0lO27,A00000010,627843
IML1O371,A0000000W,650539
